diam_in,thick_in,diam_dec,thick_dec,diam_mm,thick_mm
1/16,1/32,0.0625,0.03125,1.588,0.794
1/16,1/16,0.0625,0.0625,1.588,1.588
1/16,1/8,0.0625,0.125,1.588,3.175
1/16,1/4,0.0625,0.25,1.588,6.35
1/8,1/32,0.125,0.03125,3.175,0.794
1/8,1/16,0.125,0.0625,3.175,1.588
1/8,1/8,0.125,0.125,3.175,3.175
1/8,1/4,0.125,0.25,3.175,6.35
1/8,3/8,0.125,0.375,3.175,9.525
1/8,1/2,0.125,0.5,3.175,12.7
3/16,1/32,0.1875,0.03125,4.762,0.794
3/16,1/16,0.1875,0.0625,4.762,1.588
3/16,1/8,0.1875,0.125,4.762,3.175
3/16,3/16,0.1875,0.1875,4.762,4.762
3/16,1/4,0.1875,0.25,4.762,6.35
3/16,3/8,0.1875,0.375,4.762,9.525
3/16,1/2,0.1875,0.5,4.762,12.7
1/4,1/32,0.25,0.03125,6.35,0.794
1/4,1/16,0.25,0.0625,6.35,1.588
1/4,1/8,0.25,0.125,6.35,3.175
1/4,3/16,0.25,0.1875,6.35,4.762
1/4,1/4,0.25,0.25,6.35,6.35
1/4,3/8,0.25,0.375,6.35,9.525
1/4,1/2,0.25,0.5,6.35,12.7
1/4,3/4,0.25,0.75,6.35,19.05
1/4,1,0.25,1.0,6.35,25.4
5/16,1/32,0.3125,0.03125,7.938,0.794
5/16,1/16,0.3125,0.0625,7.938,1.588
5/16,1/8,0.3125,0.125,7.938,3.175
5/16,1/4,0.3125,0.25,7.938,6.35
5/16,5/16,0.3125,0.3125,7.938,7.938
5/16,1/2,0.3125,0.5,7.938,12.7
3/8,1/32,0.375,0.03125,9.525,0.794
3/8,1/16,0.375,0.0625,9.525,1.588
3/8,1/8,0.375,0.125,9.525,3.175
3/8,3/16,0.375,0.1875,9.525,4.762
3/8,1/4,0.375,0.25,9.525,6.35
3/8,3/8,0.375,0.375,9.525,9.525
3/8,1/2,0.375,0.5,9.525,12.7
7/16,1/32,0.4375,0.03125,11.112,0.794
7/16,1/16,0.4375,0.0625,11.112,1.588
7/16,1/8,0.4375,0.125,11.112,3.175
7/16,3/16,0.4375,0.1875,11.112,4.762
7/16,1/4,0.4375,0.25,11.112,6.35
7/16,7/16,0.4375,0.4375,11.112,11.112
7/16,1/2,0.4375,0.5,11.112,12.7
1/2,1/32,0.5,0.03125,12.7,0.794
1/2,1/16,0.5,0.0625,12.7,1.588
1/2,1/8,0.5,0.125,12.7,3.175
1/2,3/16,0.5,0.1875,12.7,4.762
1/2,1/4,0.5,0.25,12.7,6.35
1/2,3/8,0.5,0.375,12.7,9.525
1/2,1/2,0.5,0.5,12.7,12.7
9/16,1/16,0.5625,0.0625,14.288,1.588
9/16,1/8,0.5625,0.125,14.288,3.175
9/16,3/16,0.5625,0.1875,14.288,4.762
9/16,1/4,0.5625,0.25,14.288,6.35
9/16,9/16,0.5625,0.5625,14.288,14.288
5/8,1/16,0.625,0.0625,15.875,1.588
5/8,1/8,0.625,0.125,15.875,3.175
5/8,3/16,0.625,0.1875,15.875,4.762
5/8,1/4,0.625,0.25,15.875,6.35
5/8,5/8,0.625,0.625,15.875,15.875
3/4,1/16,0.75,0.0625,19.05,1.588
3/4,1/8,0.75,0.125,19.05,3.175
3/4,3/16,0.75,0.1875,19.05,4.762
3/4,1/4,0.75,0.25,19.05,6.35
3/4,3/8,0.75,0.375,19.05,9.525
3/4,1/2,0.75,0.5,19.05,12.7
3/4,3/4,0.75,0.75,19.05,19.05
1,1/16,1.0,0.0625,25.4,1.588
1,1/8,1.0,0.125,25.4,3.175
1,3/16,1.0,0.1875,25.4,4.762
1,1/4,1.0,0.25,25.4,6.35
1,3/8,1.0,0.375,25.4,9.525
1,1/2,1.0,0.5,25.4,12.7
1,3/4,1.0,0.75,25.4,19.05
1,1,1.0,1.0,25.4,25.4
1 1/4,1/4,1.25,0.25,31.75,6.35
1 1/4,1/2,1.25,0.5,31.75,12.7
1 1/2,1/4,1.5,0.25,38.1,6.35
1 1/2,1/2,1.5,0.5,38.1,12.7
1 1/2,3/4,1.5,0.75,38.1,19.05
1 1/2,1 1/2,1.5,1.5,38.1,38.1
2,1/4,2.0,0.25,50.8,6.35
2,1/2,2.0,0.5,50.8,12.7
2,1,2.0,1.0,50.8,25.4
2,2,2.0,2.0,50.8,50.8
2 1/2,1,2.5,1.0,63.5,25.4
3,1/2,3.0,0.5,76.2,12.7
3,1 1/2,3.0,1.5,76.2,38.1
